,COUNTY,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,year
31,Guaynabo,92444.0,40303.0,34724.0,25064.0,4889.0,23834.0,11152.0,17477.0,17441.0,17764.0,4360.0,91500.0,37016.0,7971.0,99.0,934.0,3786.0,596.0,2016
32,Gurabo,46990.0,17568.0,15473.0,15141.0,3099.0,16238.0,6720.0,6373.0,10911.0,11103.0,1741.0,46444.0,26283.0,601.0,21.0,350.0,1961.0,329.0,2016
33,Hatillo,41327.0,16855.0,14339.0,18400.0,1456.0,10116.0,9250.0,7129.0,8836.0,3168.0,1537.0,41250.0,25830.0,248.0,0.0,244.0,1959.0,105.0,2016
34,Hormigueros,16678.0,7555.0,6233.0,6013.0,1370.0,11432.0,3271.0,4058.0,3212.0,4984.0,660.0,16623.0,9306.0,391.0,12.0,165.0,831.0,184.0,2016
35,Humacao,55621.0,26899.0,18763.0,24941.0,2263.0,10994.0,9320.0,10067.0,11837.0,6203.0,2878.0,55143.0,35104.0,2436.0,23.0,920.0,2517.0,551.0,2016
36,Isabela,43919.0,20417.0,15084.0,23902.0,2650.0,8578.0,9120.0,7662.0,9291.0,11911.0,1708.0,43533.0,26891.0,572.0,0.0,439.0,2194.0,311.0,2016
37,Jayuya,15605.0,6231.0,4720.0,9196.0,1220.0,7258.0,2817.0,2178.0,3794.0,3642.0,741.0,15580.0,11142.0,159.0,5.0,246.0,945.0,226.0,2016
38,Juana Díaz,48658.0,18930.0,16143.0,23218.0,3704.0,10053.0,8642.0,7240.0,11772.0,10222.0,2419.0,48567.0,33452.0,323.0,25.0,732.0,2320.0,511.0,2016
39,Juncos,39942.0,15723.0,12746.0,19558.0,4013.0,9282.0,6478.0,5549.0,9494.0,8657.0,2306.0,39720.0,24887.0,521.0,0.0,670.0,1845.0,203.0,2016
40,Lajas,24323.0,12107.0,8375.0,14552.0,1047.0,7097.0,6539.0,5099.0,4946.0,4765.0,901.0,24294.0,15095.0,299.0,228.0,470.0,1095.0,39.0,2016
41,Lares,28052.0,12263.0,10148.0,15984.0,3496.0,7958.0,7604.0,4985.0,5943.0,6108.0,1290.0,27940.0,21156.0,104.0,50.0,425.0,1646.0,274.0,2016
42,Las Marías,9093.0,3932.0,3104.0,5309.0,70.0,6730.0,2868.0,1569.0,2029.0,645.0,478.0,8996.0,7099.0,26.0,0.0,263.0,476.0,92.0,2016
43,Las Piedras,38466.0,15634.0,12876.0,18254.0,2715.0,9906.0,6276.0,5742.0,8746.0,6497.0,1930.0,38414.0,25698.0,199.0,17.0,662.0,1551.0,57.0,2016
44,Loíza,27857.0,11588.0,8810.0,13785.0,2883.0,8694.0,4561.0,3879.0,6568.0,5198.0,1393.0,27849.0,19920.0,341.0,0.0,643.0,1945.0,75.0,2016
45,Luquillo,19237.0,10529.0,6691.0,8450.0,2084.0,10617.0,3175.0,3534.0,4302.0,4470.0,837.0,19012.0,11425.0,1720.0,0.0,399.0,1136.0,123.0,2016
46,Manatí,41468.0,18799.0,15946.0,19121.0,2261.0,10216.0,8207.0,7543.0,9340.0,8246.0,2413.0,41059.0,24840.0,703.0,59.0,1319.0,2987.0,209.0,2016
47,Maricao,6274.0,2634.0,1952.0,4001.0,205.0,5663.0,1966.0,1072.0,1282.0,567.0,206.0,6263.0,5025.0,4.0,28.0,137.0,397.0,18.0,2016
48,Maunabo,11506.0,5353.0,4035.0,6431.0,766.0,8552.0,2820.0,2162.0,2447.0,1926.0,390.0,11363.0,8073.0,152.0,0.0,344.0,615.0,8.0,2016
49,Mayagüez,81594.0,41274.0,30099.0,41350.0,6471.0,10133.0,15680.0,16962.0,15353.0,20794.0,4336.0,81093.0,46192.0,6893.0,57.0,878.0,6494.0,1241.0,2016
50,Moca,38289.0,15632.0,12473.0,21529.0,2803.0,7621.0,8606.0,5602.0,8885.0,9365.0,1326.0,38162.0,24430.0,204.0,34.0,336.0,1795.0,279.0,2016
51,Morovis,32087.0,11661.0,9827.0,16601.0,2279.0,8294.0,6639.0,4238.0,7759.0,6634.0,1479.0,32058.0,22198.0,247.0,21.0,310.0,1580.0,64.0,2016
52,Naguabo,26722.0,11555.0,8586.0,13311.0,948.0,9809.0,5647.0,4175.0,6505.0,2837.0,1142.0,26670.0,18414.0,577.0,0.0,472.0,1437.0,48.0,2016
53,Naranjito,29467.0,10605.0,8645.0,14032.0,2175.0,9886.0,5899.0,4615.0,6612.0,7383.0,1145.0,29428.0,20590.0,70.0,31.0,478.0,1163.0,90.0,2016
54,Orocovis,22258.0,8514.0,6858.0,12776.0,1881.0,7187.0,5250.0,3161.0,5266.0,7825.0,1290.0,22212.0,16800.0,78.0,16.0,183.0,1321.0,149.0,2016
55,Patillas,18135.0,8943.0,6458.0,10279.0,1399.0,8127.0,3658.0,3285.0,3821.0,2936.0,740.0,18100.0,13055.0,223.0,49.0,239.0,1223.0,0.0,2016
56,Peñuelas,22231.0,8828.0,7398.0,12748.0,1733.0,7581.0,4169.0,3091.0,5562.0,3291.0,1136.0,22153.0,15521.0,33.0,10.0,484.0,1110.0,26.0,2016
57,Ponce,152594.0,66906.0,54722.0,76635.0,8328.0,10587.0,25221.0,27853.0,33957.0,24466.0,8682.0,151545.0,90200.0,7757.0,109.0,1748.0,11013.0,3683.0,2016
58,Quebradillas,24904.0,10348.0,8773.0,13897.0,1240.0,8499.0,5077.0,4255.0,5500.0,6013.0,1148.0,24755.0,16916.0,203.0,29.0,174.0,1123.0,29.0,2016
59,Rincón,14700.0,9462.0,5210.0,7068.0,744.0,9445.0,3633.0,3143.0,2919.0,4619.0,580.0,13857.0,8518.0,1023.0,13.0,116.0,721.0,25.0,2016
60,Río Grande,52479.0,23191.0,16292.0,19400.0,5133.0,10648.0,8597.0,8887.0,11369.0,11566.0,2084.0,52219.0,32804.0,1224.0,90.0,772.0,1940.0,950.0,2016
61,Sabana Grande,24013.0,10806.0,7413.0,11762.0,1530.0,8638.0,4501.0,4715.0,5291.0,7008.0,583.0,23840.0,15202.0,241.0,22.0,217.0,1427.0,169.0,2016
62,Salinas,29722.0,13873.0,10809.0,15702.0,995.0,8535.0,5378.0,4855.0,7215.0,6143.0,2055.0,29648.0,19167.0,287.0,89.0,378.0,1609.0,160.0,2016
63,San Germán,33546.0,15652.0,12263.0,16865.0,724.0,9445.0,6948.0,7136.0,6959.0,3596.0,1280.0,33442.0,20319.0,570.0,20.0,589.0,2506.0,651.0,2016
